iter	Passed	Remaining
0	2	222
1	4	197
2	5	188
3	7	184
4	9	180
5	11	174
6	12	171
7	14	167
8	16	164
9	18	163
10	19	160
11	21	158
12	23	156
13	24	153
14	26	151
15	28	149
16	30	148
17	32	145
18	33	144
19	35	142
20	37	140
21	39	138
22	40	136
23	42	133
24	44	132
25	46	131
26	47	129
27	49	127
28	51	125
29	53	123
30	54	122
31	56	120
32	58	118
33	60	116
34	61	115
35	63	113
36	65	111
37	67	109
38	69	108
39	70	106
40	72	104
41	74	102
42	76	100
43	77	99
44	79	97
45	81	95
46	83	94
47	85	92
48	86	90
49	88	88
50	90	86
51	92	85
52	93	83
53	95	81
54	97	79
55	99	77
56	100	76
57	102	74
58	104	72
59	105	70
60	107	68
61	109	66
62	110	65
63	112	63
64	114	61
65	115	59
66	117	57
67	119	56
68	121	54
69	122	52
70	124	50
71	126	49
72	128	47
73	129	45
74	131	43
75	133	42
76	135	40
77	137	38
78	138	36
79	140	35
80	142	33
81	144	31
82	145	29
83	147	28
84	149	26
85	151	24
86	152	22
87	154	21
88	156	19
89	157	17
90	159	15
91	161	14
92	163	12
93	164	10
94	166	8
95	167	6
96	169	5
97	171	3
98	173	1
99	174	0
